frac, phi, Eg, dge, Ed, s, Ce, ge, Y
0.234313,0.45,128.5707,0.6622831956,10000,1,0.794931,2.84818,1
0.22757,0.45,147.3327,0.6553919883,10000,0.95,0.829355,2.8379,1
0.191397,0.35,191.8042,0.5509912653,5000,0.5,0.94727,2.82843,1
0.202443,0.4,159.7789,0.6349274684,3000,0.65,0.930729,2.78567,1
0.226138,0.45,132.8074,0.6611328537,5000,0.9,0.842055,2.83024,1
0.224287,0.45,132.5749,0.7137924932,3000,0.9,0.860708,2.77387,1
0.19194,0.35,197.0843,0.5451943353,5000,0.5,0.947683,2.83243,1
0.221572,0.5,114.5442,0.6416590135,10000,0.85,0.85479,2.87372,1
0.229116,0.45,148.5746,0.6660496322,5000,0.95,0.834551,2.82351,1
0.236186,0.5,130.6115,0.6921540392,10000,1,0.821923,2.83059,1
0.214101,0.45,141.6985,0.6260869057,7000,0.8,0.877762,2.84854,1
0.219262,0.45,154.594,0.6350907418,10000,0.85,0.867403,2.84138,1
0.192542,0.35,192.4201,0.5462929008,5000,0.5,0.946378,2.83105,1
0.228782,0.45,140.4723,0.6892967573,7000,0.95,0.835621,2.80562,1
0.217709,0.45,153.5878,0.6569470872,7000,0.85,0.874639,2.81813,1
0.221368,0.5,126.4984,0.6574001325,7000,0.85,0.871137,2.8467,1
0.233614,0.5,115.9028,0.6851955279,7000,0.95,0.827482,2.84178,1
0.237534,0.5,120.2733,0.6973442234,7000,1,0.814959,2.83154,1
0.187608,0.35,200,0.5358573285,7000,0.5,0.945392,2.84407,1
0.200592,0.4,166.2756,0.597246249,5000,0.65,0.922889,2.82753,1
0.226992,0.5,122.5427,0.6701056549,10000,0.9,0.850074,2.84486,1
0.207994,0.45,158.9618,0.6145654705,7000,0.75,0.904406,2.84464,1
0.252404,0.6,72.7611,0.7221450905,7000,1,0.782242,2.88604,1
0.227099,0.5,117.8083,0.6844282406,5000,0.9,0.851775,2.83102,1
0.226708,0.5,112.7652,0.6793482784,7000,0.9,0.844407,2.84453,1
0.204679,0.45,144.6166,0.5879770875,10000,0.7,0.907495,2.87187,1
0.227291,0.55,91.7124,0.6858302406,5000,0.85,0.859641,2.86217,1
0.221459,0.45,140.8933,0.6541941679,7000,0.9,0.845448,2.83385,1
0.225548,0.45,131.5022,0.6517348197,5000,0.9,0.838292,2.84185,1
0.217327,0.5,115.1794,0.6700769703,5000,0.8,0.887556,2.83294,1
0.232285,0.5,123.0033,0.6772346674,10000,0.95,0.831578,2.8441,1
0.228402,0.45,150.9774,0.6666089069,7000,0.95,0.835806,2.82283,1
0.192545,0.35,200,0.551830394,5000,0.5,0.947989,2.82315,1
0.228476,0.45,155.0732,0.6574586098,10000,0.95,0.835201,2.83004,1
0.220729,0.45,135.6646,0.6417940083,7000,0.85,0.858087,2.84259,1
0.242709,0.55,98.6236,0.7164791253,7000,1,0.810009,2.84563,1
0.211947,0.45,154.8735,0.6159302302,10000,0.8,0.881842,2.85353,1
0.238238,0.5,117.4595,0.6842817033,10000,1,0.806545,2.84858,1
0.212859,0.4,162.8227,0.6202330288,7000,0.8,0.872425,2.83008,1
0.238268,0.5,115.2767,0.6883990805,10000,1,0.805721,2.84466,1
0.205017,0.4,162.1413,0.6172440996,5000,0.7,0.909124,2.81464,1
